Add To New Account Master,EOL Tag,Model Tag,Insights Tag,BIS Tag,Internal Enrichment Tag,External Enrichment Tag,Segmentation Tag,Segment Bucketing,ExternalColumnID,Source,SourceColumnName,Description,DataType,Display Name,Category,SubCategory,StatisticalType,DisplayDiscretizationStrategy,FundamentalType
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_CloudInfrastructureComputing,HGData_Pivoted_Source,,"Number of Cloud Infrastructure Technologies found behind firewall. Eg. Amazon AWS, Microsoft System Center, Amazon EC2",INT,Cloud Infrastructure Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_CloudService_One,HGData_Pivoted_Source,,"Number of Cloud Service found behind firewall. Eg. IaaS, PaaS",INT,"Cloud Service, Tier 1",TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,CloudTechnologies_CloudService_Two,HGData_Pivoted_Source,,"Number of technologies that can be categorized as Cloud Service, but have a different primary usage.",INT,"Cloud Service, Tier 2",TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_Collaboration,HGData_Pivoted_Source,,"Number of Collaboration Technologies found behind firewall. Eg. Lotus Notes, WebEx, Skype",INT,Collaboration Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,HostingProvidersTopAttributes,BuiltWith_Pivoted_Source,,A popular Hosting Technology is detected in use,NVARCHAR(500),Has Top Hosting Tech,WEBSITE_PROFILE,Other,NOMINAL,,ALPHA
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_Commerce,HGData_Pivoted_Source,,"Number of Commerce Technologies found behind firewall. Eg. Comdata, Magento, SAP Sales",INT,Commerce Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_CommTech_One,HGData_Pivoted_Source,,"Number of Communications Technologies found behind firewall. Eg. Telephony, Email, Mobile",INT,"Communications Tech, Tier 1",TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,CloudTechnologies_CommTech_Two,HGData_Pivoted_Source,,"Number of technologies that can be categorized as Communications Technologies, but have a different primary usage.",INT,"Communications Tech, Tier 2",TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_CommunicationsTechnology,HGData_Pivoted_Source,,"Number of Communications Technology found behind firewall. Eg. Avaya, Nortel, Qualcomm",INT,Communications Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_Construction,HGData_Pivoted_Source,,"Number of Construction Technologies found behind firewall. Eg. Yardi, Infor, HCSS",INT,Construction Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
