AMColumnID	IsSegment	DecodeStrategy	EncodeBitUnit	BucketAlgorithm
CloudTechnologies_Printers	true			
CloudTechnologies_Procurement	true			
CloudTechnologies_ProductivitySltns_One	true			
CloudTechnologies_ProductivitySltns_Two	true			
CloudTechnologies_ProductivitySolutions	true			
CloudTechnologies_ProjectManagement	true			
CloudTechnologies_ProjectMgnt_One	true			
CloudTechnologies_ProjectMgnt_Two	true			
CloudTechnologies_QualityManagementSystem	true			
CloudTechnologies_RealEstate	true			
CloudTechnologies_RemoteComputerServerSolutions	true			
CloudTechnologies_ReportingSoftware	true			
CloudTechnologies_Retail	true			
CloudTechnologies_SCM	true			
CloudTechnologies_SearchEngine	true			
CloudTechnologies_ServerTechnologiesHardware	true			
CloudTechnologies_ServerTechnologiesSoftware	true			
CloudTechnologies_ServiceFieldSupportManagement	true			
CloudTechnologies_SIEM	true			
CloudTechnologies_SocialMediaSystems	true			
CloudTechnologies_SoftwareBasic_One	true			
CloudTechnologies_SoftwareBasic_Two	true			
CloudTechnologies_SoftwareOther	true			
CloudTechnologies_SRM	true			
CloudTechnologies_SustainabilityGreenEnterprise	true			
CloudTechnologies_SystemAnalyticsMonitoring	true			
CloudTechnologies_SystemSecurityServices	true			
CloudTechnologies_Telephony	true			
CloudTechnologies_TravelandExpenseManagement	true			
CloudTechnologies_VerticalMarkets_One	true			
CloudTechnologies_VerticalMarkets_Two	true			
CloudTechnologies_VirtualizationAppDesktop	true			
CloudTechnologies_VirtualizationPlatformMgmt	true			
CloudTechnologies_VirtualizationServerDataCenter	true			
CloudTechnologies_VisualizationSoftware	true			
CloudTechnologies_WCMS	true			
CloudTechnologies_WebOrntdArch_One	true			
CloudTechnologies_WebOrntdArch_Two	true			
CloudTechnologies_WebPortalTechnology	true			
CLUSTER_CRS	true			
CLUSTER_TPS	true			
COMPOSITE_RISK_SCORE	true			
ContentDeliveryNetworksTopAttributes	true			
ContentManagementSystemsTopAttributes	true			
COUNTRY_ACCESS_CODE	false			
CREDIT_CARD_RESPONSE_R	true			
CRMAlert	true			
CURRENCY_CODE	true			
DataFeedsTechnologiesTopAttributes	true			
DIAS_CODE	true			
DnB_CITY_CODE	true			
DnB_CONTINENT_CODE	true			
DnB_COUNTRY_CODE	false			
DnB_COUNTY_CODE	true			
DnB_MAILING_CITY_CODE	false			
DnB_MAILING_CONTINENT_CODE	false			
DnB_MAILING_COUNTRY_CODE	false			
DnB_MAILING_COUNTY_CODE	false			
DnB_MAILING_STATE_PROVINCE_CODE	false			
DnB_STATE_PROVINCE_CODE	true			
DNSProvidersTopAttributes	true			
DomainParkingTopAttributes	true			
DOMESTIC_ULTIMATE_BUSINESS_NAME	false			
DOMESTIC_ULTIMATE_CITY_NAME	true			
DOMESTIC_ULTIMATE_DnB_CITY_CODE	true			
DOMESTIC_ULTIMATE_DnB_COUNTRY_CODE	true			
DOMESTIC_ULTIMATE_DUNS_NUMBER	true			
DOMESTIC_ULTIMATE_POSTAL_CODE	true			
DOMESTIC_ULTIMATE_STATE_PROV_ABR	true			
DOMESTIC_ULTIMATE_STATE_PROVINCE	true			
DOMESTIC_ULTIMATE_STREET_ADDRESS	false			
EcommerceTechnologiesTopAttributes	true			
EmailProvidersTopAttributes	true			
EMPLOYEES_HERE	true			
EMPLOYEES_HERE_RELIABILITY_CODE	true			
EMPLOYEES_TOTAL	true			
EMPLOYEES_TOTAL_RELIABILITY_CODE	true			
Facebook_Likes	true			
Facebook_Url	false			
FACSIMILE_NUMBER	false			
FeatureAverageDocumentSizeFetched	false			
FeatureAverageDocumentSizeProcessed	false			
FeatureCurrencyEuro	false			
FeatureCurrencyJapanYen	false			
FeatureCurrencySwissFranc	false			
FeatureCurrencyUKPound	false			
FeatureCurrencyUSDollar	false			
FeatureExecutionEvaluate	false			
FeatureExecutionFetch	false			
FeatureExecutionFull	false			
FeatureGlobalBag	false			
FeatureGlobalBasket	false			
FeatureGlobalCart	false			
FeatureGlobalProduct	false			
FeatureGlobalShop	false			
FeatureGlobalStore	false			
FeatureInputValueAddItem	false			
FeatureInputValueAddToBag	false			
FeatureInputValueAddToBasket	false			
FeatureInputValueAddToCart	false			
FeatureJavaScriptBag	false			
FeatureJavaScriptBasket	false			
FeatureJavaScriptCart	false			
FeatureJavaScriptProduct	false			
FeatureJavaScriptShop	false			
FeatureJavaScriptStore	false			
FeatureRefSrcBag	false			
FeatureRefSrcBasket	false			
FeatureRefSrcCart	false			
FeatureRefSrcProduct	false			
FeatureRefSrcShop	false			
FeatureRefSrcStore	false			
FeatureTermAddItem	false			
FeatureTermAddToBag	false			
FeatureTermAddToBasket	false			
FeatureTermAddToCart	false			
FeatureTermAssociationManagementSoftware	false			
FeatureTermAutomotiveSerialBuses	false			
FeatureTermBag	false			
FeatureTermBargain	false			
FeatureTermBasket	false			
FeatureTermBatterySystem	false			
FeatureTermBillingAddress	false			
FeatureTermBillingSolution	false			
FeatureTermBiotechnology	false			
FeatureTermBusinessManagementSoftware	false			
FeatureTermBuy	false			
FeatureTermCart	false			
FeatureTermCatalog	false			
FeatureTermCellular	false			
FeatureTermCheckout	false			
FeatureTermCoherentOptical	false			
FeatureTermCommerceSolutions	false			
FeatureTermCompliancePreComplianceTesting	false			
FeatureTermContinueShopping	false			
FeatureTermCreateAccount	false			
FeatureTermCreateaFreeWebsite	false			
FeatureTermCreateastore	false			
FeatureTermCrossChannelCommerce	false			
FeatureTermCrowdfunding	false			
FeatureTermCustomerService	false			
FeatureTermCustomerSupport	false			
FeatureTermDeal	false			
FeatureTermDeviceCharacterization	false			
FeatureTermDisplayInterface	false			
FeatureTermDRAM	false			
FeatureTermEcommercePlatformSolutions	false			
FeatureTermEcommerceSoftware	false			
FeatureTermEcommerceSoftwareSolutions	false			
FeatureTermElectroChemistry	false			
FeatureTermEmbeddedSerialBuses	false			
FeatureTermEthernet	false			
FeatureTermEventManagement	false			
FeatureTermFlash	false			
FeatureTermFormBuilder	false			
FeatureTermFreeOnlineStore	false			
FeatureTermFreeShipping	false			
